#voice actor;regular expression;idol's name;comment
中村繪里子,中村 ?繪里子,天海春香,765
今井麻美,今井 ?麻美,如月千早,765
浅倉杏美,浅倉 ?杏美,萩原雪歩,765
仁後真耶子,仁後 ?真耶子,高槻やよい,765
若林直美,若林 ?直美,秋月律子,765
たかはし智秋,たかはし ?智秋,三浦あずさ,765
釘宮理恵,釘宮 ?理恵,水瀬伊織,765
平田宏美,平田 ?宏美,菊地真,765
下田麻美,下田 ?麻美,双海亜美・真美,765
長谷川明子,長谷川 ?明子,星井美希,765
沼倉愛美,沼倉 ?愛美,我那覇響,765
原由実,原 ?由実,四条貴音,765

滝田樹里,滝田 ?樹里,音無小鳥,765
徳丸完,徳丸 ?完,高木順一朗,765
大塚芳忠,大塚 ?芳忠,高木順二朗,765
赤羽根健治,赤羽根 ?健治,赤羽根P,765
間島淳司,間島 ?淳司,間島P,765

子安武人,子安 ?武人,黒井崇男,961
寺島拓篤,寺島 ?拓篤,天ヶ瀬冬馬,961
神原大地,神原 ?大地,伊集院北斗,961
松岡禎丞,松岡 ?禎丞,御手洗翔太,961
星野充昭,星野 ?充昭,善澤
松本大,松本 ?大,渋澤

戸松遥,戸松 ?遥,日高愛,876
花澤香菜,花澤 ?香菜,水谷絵理,876
三瓶由布子,三瓶 ?由布子,秋月涼,876
早水リサ,早水 リサ,石川実,876
浅川悠,浅川 ?悠尾崎玲子,876

茅原実里,茅原 ?実里,玲音

平松晶子,平松 ?晶子,如月千種
吉田真弓,吉田 ?真弓,高槻かすみ
中嶋アキ,中嶋 ?アキ,高槻浩太郎
高下三佳,高下 ?三佳,高槻浩三
柚木涼香,柚木 ?涼香,日高舞
麦人,麦人,新堂
小野坂昌也,小野坂 ?昌也,石油王
庄司宇芽香,庄司 ?宇芽香,海運王の娘

日笠山亜美,日笠山 ?亜美,ひかり,新幹少女
斎藤桃子,斎藤 ?桃子,つばめ,新幹少女
庄子裕衣,庄子 ?裕衣,のぞみ,新幹少女
三浦潤也,三浦 ?潤也,新幹少女のP,新幹少女

山崎はるか,山崎 ?はるか,春日未来,ミリオン
田村奈央,田村 ?奈央,木下ひなた,ミリオン
愛美,愛美,ジュリア,ミリオン
駒形友梨,駒形 ?友梨,高山紗代子,ミリオン
種田梨沙,種田 ?梨沙,田中琴葉,ミリオン
小岩井ことり,小岩井 ?ことり,天空橋朋花,ミリオン
麻倉もも,麻倉 ?もも,箱崎星梨花,ミリオン
村川梨衣,村川 ?梨衣,松田亜利沙,ミリオン
田所あずさ,田所 ?あずさ,最上静香,ミリオン
夏川椎菜,夏川 ?椎菜,望月杏奈,ミリオン
木戸衣吹,木戸 ?衣吹,矢吹可奈,ミリオン

郁原ゆう,郁原 ?ゆう,エミリー,ミリオン
稲川英里,稲川 ?英里,大神環,ミリオン
平山笑美,平山 ?笑美,北上麗花,ミリオン
上田麗奈,上田 ?麗奈,高坂海美,ミリオン
大関英里,大関 ?英里,佐竹美奈子,ミリオン
角元明日香,角元 ?明日香,島原エレナ,ミリオン
斉藤佑圭,斉藤 ?佑圭,永吉昴,ミリオン
小笠原早紀,小笠原 ?早紀,野々原茜,ミリオン
高橋未奈美,高橋 ?未奈美,馬場このみ,ミリオン
浜崎奈々,浜崎 ?奈々,福田のり子,ミリオン
戸田めぐみ,戸田 ?めぐみ,舞浜歩,ミリオン
阿部里果,阿部 ?里果,真壁瑞希,ミリオン
山口立花子,山口 ?立花子,百瀬莉緒,ミリオン
渡部優衣,渡部 ?優衣,横山奈緒,ミリオン

Machico,Machico,伊吹翼,ミリオン
雨宮天,雨宮 ?天,北沢志保,ミリオン
近藤唯,近藤 ?唯,篠宮可憐,ミリオン
渡部恵子,渡部 ?恵子,周防桃子,ミリオン
諏訪彩花,諏訪 ?彩花,徳川まつり,ミリオン
藤井ゆきよ,藤井 ?ゆきよ,所恵美,ミリオン
末柄里恵,末柄 ?里恵,豊川風花,ミリオン
原嶋あかり,原嶋 ?あかり,中谷育,ミリオン
伊藤美来,伊藤 ?美来,七尾百合子,ミリオン
野村香菜子,野村 ?香菜子,二階堂千鶴,ミリオン
桐谷蝶々,桐谷 ?蝶々,宮尾美也,ミリオン
中村温姫,中村 ?温姫,ロコ,ミリオン

大橋彩香,大橋 ?彩香,島村卯月,シンデレラ
下地紫野,下地 ?紫野,中野有香,シンデレラ
藤田茜,藤田 ?茜,水本ゆかり,シンデレラ
都丸ちよ,都丸 ?ちよ,椎名法子,シンデレラ
大坪由佳,大坪 ?由佳,三村かな子,シンデレラ
津田美波,津田 ?美波,小日向美穂,シンデレラ
大空直美,大空 ?直美,緒方智絵里,シンデレラ
照井春佳,照井 ?春佳,櫻井桃華,シンデレラ
金子真由美,金子 ?真由美,藤本里奈,シンデレラ
藍原ことみ,藍原 ?ことみ,一ノ瀬志希,シンデレラ
高森奈津美,高森 ?奈津美,前川みく,シンデレラ
高野麻美,高野 ?麻美,宮本フレデリカ,シンデレラ
立花理香,立花 ?理香,小早川紗枝,シンデレラ
五十嵐裕美,五十嵐 ?裕美,双葉杏,シンデレラ
新田ひより,新田 ?ひより,道明寺歌鈴,シンデレラ
竹達彩奈,竹達 ?彩奈,輿水幸子,シンデレラ
三宅麻理恵,三宅 ?麻理恵,安部菜々,シンデレラ
牧野由依,牧野 ?由依,佐久間まゆ,シンデレラ

福原綾香,福原 ?綾香,渋谷凛,シンデレラ
東山奈央,東山 ?奈央,川島瑞樹,シンデレラ
松井恵理子,松井 ?恵理子,神谷奈緒,シンデレラ
長島光那,長島 ?光那,上条春菜,シンデレラ
青木瑠璃子,青木 ?瑠璃子,多田李衣菜,シンデレラ
今井麻夏,今井 ?麻夏,佐々木千枝,シンデレラ
洲崎綾,洲崎 ?綾,新田美波,シンデレラ
佐藤亜美菜,佐藤 ?亜美菜,橘ありす,シンデレラ
M・A・O,M・A・O,鷺沢文香,シンデレラ
千菅春香,千菅 ?春香,松永涼,シンデレラ
早見沙織,早見 ?沙織,高垣楓,シンデレラ
内田真礼,内田 ?真礼,神崎蘭子,シンデレラ
渕上舞,渕上 ?舞,北条加蓮,シンデレラ
桜咲千依,桜咲 ?千依,白坂小梅,シンデレラ
ルゥ・ティン,ルゥ・ティン,塩見周子,シンデレラ
嘉山未紗,嘉山 ?未紗,脇山珠美,シンデレラ
飯田友子,飯田 ?友子,速水奏,シンデレラ
上坂すみれ,上坂 ?すみれ,アナスタシア,シンデレラ
村中知,村中 ?知,大和亜季,シンデレラ

原紗友里,原 ?紗友里,本田未央,シンデレラ
金子有希,金子 ?有希,高森藍子,シンデレラ
春瀬なつみ,春瀬 ?なつみ,龍崎薫,シンデレラ
安野希世乃,安野 ?希世乃,木村夏樹,シンデレラ
黒沢ともよ,黒沢 ?ともよ,赤城みりあ,シンデレラ
山下七海,山下 ?七海,大槻唯,シンデレラ
杜野まこ,杜野 ?まこ,姫川友紀,シンデレラ
春野ななみ,春野 ?ななみ,上田鈴帆,シンデレラ
のぐちゆり,のぐち ?ゆり,及川雫,シンデレラ
松田颯水,松田 ?颯水,星輝子,シンデレラ
和氣あず未,和氣 ?あず未,片桐早苗,シンデレラ
鈴木絵理,鈴木 ?絵理,堀裕子,シンデレラ
木村珠莉,木村 ?珠莉,相葉夕美,シンデレラ
佳村はるか,佳村 ?はるか,城ヶ崎美嘉,シンデレラ
山本希望,山本 ?希望,城ヶ崎莉嘉,シンデレラ
赤﨑千夏,赤﨑 ?千夏,日野茜,シンデレラ
赤崎千夏,赤崎 ?千夏,日野茜,シンデレラ,表記ゆれ対応(赤﨑千夏)
松嵜麗,松嵜 ?麗,諸星きらり,シンデレラ
原田ひとみ,原田 ?ひとみ,十時愛梨,シンデレラ
原優子,原 ?優子,向井拓海,シンデレラ
久野美咲,久野 ?美咲,市原仁奈,シンデレラ
伊達朱里紗,伊達 ?朱里紗,難波笑美,シンデレラ
田澤茉純,田澤 ?茉純,浜口あやめ,シンデレラ
髙野麻美,髙野 ?麻美,宮本フレデリカ,シンデレラ

藤村歩,藤村 ?歩,トレーナー,シンデレラ
佐藤利奈,佐藤 ?利奈,千川ちひろ,シンデレラ
武内駿輔,武内 ?駿輔,武内P,シンデレラ
小松史法,小松 ?史法,今西部長,シンデレラ
田中敦子,田中 ?敦子,美城常務,シンデレラ
